level,height_geopotential,height_geometric,temperature,density,height_barometric,altitude
109,2260.99,2261.8,273.45,0.980334,2261.2565169710374,7418.820593736999
110,2080.41,2081.09,274.63,0.998368,2080.496425426488,6825.775673971416
111,1910.19,1910.76,275.73,1.015598,1910.4724291892564,6267.954164006746
112,1750.14,1750.63,276.77,1.032005,1750.4408826224126,5742.9162815695945
113,1600.04,1600.44,277.75,1.047576,1600.21835642533,5250.060224492552
114,1459.58,1459.91,278.66,1.06231,1459.8439116182276,4789.514145729093
115,1328.43,1328.7,279.52,1.076209,1328.4796276550512,4358.528962122871
116,1206.21,1206.44,280.31,1.089286,1206.3982579475562,3957.999533948675
117,1092.54,1092.73,281.05,1.101558,1092.6953465710155,3584.958486125379
118,987.0,987.15,281.73,1.113047,987.3296268428494,3239.27042927444
119,889.17,889.29,282.37,1.123777,889.3879201266373,2917.9393704942167
120,798.62,798.72,282.96,1.133779,798.8031654023101,2620.7452933146656
121,714.94,715.02,283.5,1.143084,715.2339372972672,2346.5680357521887
122,637.7,637.76,284.0,1.151724,638.0551527363423,2093.3568003160835
123,566.49,566.54,284.47,1.159733,566.6419491428682,1859.0615129359192
124,500.91,500.95,284.89,1.167147,501.2465051344442,1644.509531280985
125,440.58,440.61,285.29,1.173999,440.6906823958864,1445.8355721649816
126,385.14,385.16,285.65,1.180323,385.2629405759252,1263.9860255115655
127,334.22,334.24,285.98,1.186154,334.37558364126886,1097.0327547285724
128,287.51,287.52,286.28,1.191523,287.7697995437792,944.12663892316
129,244.68,244.69,286.56,1.196462,244.89374559923888,803.4571706011774
130,205.44,205.44,286.81,1.201001,205.80094599129623,675.1999540396857
131,169.5,169.51,287.05,1.205168,169.68580594577642,556.7119617643583
132,136.62,136.62,287.26,1.208992,136.910933362882,449.1828522404265
133,106.54,106.54,287.46,1.212498,106.69968408357224,350.0645803266805
134,79.04,79.04,287.64,1.21571,79.16359350945886,259.72307581843455
135,53.92,53.92,287.8,1.21865,54.13799061762767,177.61807945415902
136,30.96,30.96,287.95,1.221341,31.16084448431768,102.23374174644907
137,10.0,10.0,288.09,1.223803,10.08551520742283,33.08896065427437
